наоборот,АНГЛИЙСКИЙ АЛФАВИТ
11110,A
11101,B
11100,C
11011,D
11010,E
11001,F
11000,G
10111,H
10110,I
10101,J
10100,K
10011,L
10010,M
10001,N
10000,O
01111,P
01110,Q
01101,R
01100,S
01011,T
01010,U
01001,V
01000,W
00111,X
00110,Y
00101,Z
