наоборот.3,АНГЛИЙСКИЙ АЛФАВИТ
11111,A
11110,B
11101,C
11100,D
11011,E
11010,F
11001,G
11000,H
10111,I
10110,J
10101,K
10100,L
10011,M
10010,N
10001,O
10000,P
01111,Q
01110,R
01101,S
01100,T
01011,U
01010,V
01001,W
01000,X
00111,Y
00110,Z
