бодо,АНГЛИЙСКИЙ АЛФАВИТ
00100,A
01001,B
01101,C
01111,D
00010,E
01011,F
01010,G
01110,H
00011,I
01100,J
11100,K
11110,L
11010,M
11011,N
00111,O
11111,P
11101,Q
11001,R
10001,S
10101,T
00101,U
10111,V
10011,W
10010,X
00001,Y
10110,Z
