мтк2,АЛФАВИТ
11000,А
10011,Б
11001,В
01011,Г
10010,Д
10000,Е
10000,Ё
01111,Ж
10001,З
01100,И
11010,Й
11110,К
01001,Л
00111,М
00110,Н
00011,О
01101,П
01010,Р
10100,С
00001,Т
11100,У
10110,Ф
00101,Х
01110,Ц
01010,Ч
01011,Ш
00101,Щ
10101,Ы
10111,Ь
10110,Э
11010,Ю
11101,Я
