наоборот.2,АНГЛИЙСКИЙ АЛФАВИТ
11011,A
10110,B
10010,C
10000,D
11101,E
10100,F
10101,G
10001,H
11100,I
10011,J
00011,K
00001,L
00101,M
00100,N
11000,O
00000,P
00010,Q
00110,R
01110,S
01010,T
11010,U
01000,V
01100,W
01101,X
11110,Y
01001,Z
