наоборот,АЛФАВИТ
11110,А
11101,Б
11100,В
11011,Г
11010,Д
11001,Е
11000,Ё
10111,Ж
10110,З
10101,И
10100,Й
10011,К
10010,Л
10001,М
10000,Н
01111,О
01110,П
01101,Р
01100,С
01011,Т
01010,У
01001,Ф
01000,Х
00111,Ц
00110,Ч
00101,Ш
00100,Щ
00011,Ъ
00010,Ы
00001,Ь
00000,Э
