морзе,АЛФАВИТ
10,А
0111,Б
100,В
001,Г
011,Д
1,Е
1110,Ж
0011,З
11,И
1000,Й
010,К
1011,Л
00,М
01,Н
000,О
1001,П
101,Р
111,С
0,Т
110,У
1101,Ф
1111,Х
0101,Ц
0001,Ч
0000,Ш
0010,Щ
00100,Ъ
0100,Ы
0110,Ь
11011,Э
1100,Ю
1010,Я
