наоборот.2,АЛФАВИТ
00111,А
01100,Б
00110,В
10100,Г
01101,Д
01111,Е
01111,Ё
10000,Ж
01110,З
10011,И
00101,Й
00001,К
10110,Л
11000,М
11001,Н
11100,О
10010,П
10101,Р
01011,С
11110,Т
00011,У
01001,Ф
11010,Х
10001,Ц
10101,Ч
10100,Ш
11010,Щ
01010,Ы
01000,Ь
01001,Э
00101,Ю
00010,Я
